timestamp,red_teamgold,red_top_cs,red_top_k,red_top_d,red_top_a,red_notice
00:40,2.5,,,,,
01:10,2.5,,,,,
01:40,2.5,,,,,
02:10,3.2,4.0,,,,
02:40,3.9,10.0,,,,
03:10,4.8,12.0,,,,
03:40,5.6,20.0,,,,
04:10,6.2,24.0,,,,
04:40,7.1,27.0,,,,
05:10,7.8,34.0,,,,
05:40,8.3,39.0,,,,
06:10,9.1,39.0,,,,
06:40,9.8,49.0,,,,
07:10,10.4,54.0,,,,
07:40,11.4,62.0,,,,
08:10,12.2,65.0,,,,
08:40,12.9,67.0,,,,
09:10,13.7,70.0,,,,
09:40,14.4,76.0,,,,
,,,,,,
10:40,16.1,83.0,,,,
11:10,17.4,91.0,,,,
11:40,18.1,98.0,,,,
12:10,19.1,103.0,,,,
12:40,19.8,108.0,,,,
13:10,21.0,112.0,,,,
13:40,22.1,113.0,,,,
14:10,22.8,113.0,,,,
14:40,23.8,121.0,,,,
15:10,24.4,,,,,
15:40,25.6,121.0,,,,
16:10,26.9,134.0,,,,
,,,,,,
17:10,29.0,141.0,,,,
17:40,30.2,149.0,,,,
18:10,30.9,155.0,,,,
18:40,31.9,,,,,
19:10,32.6,166.0,,,,
19:40,33.4,,,,,
20:10,34.2,178.0,,,,
20:40,35.1,,,,,
,,,,,,
21:40,36.7,183.0,,,,
22:10,37.8,194.0,,,,
22:40,38.4,195.0,,,,
23:10,40.6,195.0,,,,
23:40,42.8,201.0,,,,
24:10,43.3,201.0,,,,
24:40,44.5,207.0,,,,
25:10,46.0,213.0,,,,
25:40,46.8,,,,,
26:10,47.8,222.0,,,,
,,,,,,
27:10,49.7,232.0,,,,
27:40,50.2,,,,,
28:10,50.9,,,,,
28:40,51.9,237.0,,,,
29:10,52.8,240.0,,,,
29:40,53.7,246.0,,,,
30:10,54.7,,,,,
,55.5,,,,,
31:10,57.8,249.0,,,,
,,,,,,
32:10,59.3,,,,,
32:40,60.9,261.0,,,,
,,,,,,
33:40,62.6,,,,,
34:10,63.4,,,,,
34:40,64.1,,,,,
35:10,64.7,,,,,turret
35:40,65.5,,,,,turret
,,,,,,
,,,,,,
37:10,68.1,,,,,
37:40,,,,,,
38:10,,,,,,
